Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 03014009-Alacant - Rabassa
	
FECHA	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	PM2.5	PM1	SO2	CO	NO	NO2	PM10	NOx	O3
03/11/2022	2,8	261	20,6	75	1005	90	0	8	7	3	0,1	3	7	28	12	45
04/11/2022	4	303	21,1	42	1005	135	0	2	1	3	0,1	2	5	25	8	54
05/11/2022	2,2	345	16,8	49	1007	151	0	1	1	4	0,1	2	5	7	8	58
06/11/2022	2,9	272	16,6	62	1005	150	0	2	2	4	0,1	2	6	8	8	51
07/11/2022	1,9	351	16,9	70	1006	134	0	3	2	4	0,1	3	10	9	14	52
08/11/2022	1,8	277	16,6	82	1004	114	0	5	5	3	0,1	3	11	11	16	40
09/11/2022	2,2	288	19,7	61	1005	117	0	2	1	3	0,1	3	6	9	10	45
10/11/2022	1,9	350	17,9	65	1009	126	0	2	1	4	0,1	3	5	6	9	53
11/11/2022	2,6	6	16,7	89	1010	40	8,9	3	2	3	0,2	2	6	3	10	55
12/11/2022	3,6	36	19,7	85	1010	127	0	4	3	4	0,1	2	3	7	6	72
13/11/2022	1,6	349	17,5	88	1007	125	0	4	4	5	0,1	2	4	7	7	42
14/11/2022	2,1	269	18,4	84	1006	118	0	6	5	3	0,1	3	8	10	12	36
15/11/2022	2	257	18,8	71	1001	82	0	3	2	4	0,1	4	11	7	16	30
16/11/2022	3,8	262	19	67	997	35	0,4	1	1	5	0,1	3	5	4	9	44
17/11/2022	5,3	250	22	55	996	131	0	1	1	4	0,1	2	2	3	4	52
18/11/2022	3,5	280	16,7	63	998	15	0,2	1	1	4	0,1	2	5	4	9	50
19/11/2022	5,8	284	14,8	44	1002	136	0	1	1	3	0,1	2	3	8	6	62
20/11/2022	4	287	16,6	49	1008	132	0	1	1	4	0,1	2	2	3	5	60
21/11/2022	4,8	242	17,3	62	1002	77	1,2	2	2	4	0,1	3	6	9	10	47
22/11/2022	4,7	248	15,4	52	1002	89	0	1	1	4	0,1	2	3	3	5	63
23/11/2022	5	256	20,4	57	1001	77	0	1	1	4	0,1	3	5	6	10	45
24/11/2022	1,6	238	18,3	73	1005	123	0	2	2	3	0,1	5	9	6	16	36
25/11/2022	3,9	299	18,1	56	1009	100	0	1	1	3	0,1	3	6	10	9	47
26/11/2022	2	273	13,4	57	1015	116	0	2	2	4	0,1	2	5	7	8	49
27/11/2022	2,1	282	12,1	78	1011	121	0	4	3	4	0,2	2	5	5	8	43
28/11/2022	5,3	288	15,5	52	1005	126	0	2	2	4	0,1	3	6	16	11	52
29/11/2022	1,8	335	15,1	47	1005	122	0	2	1	4	0,1	4	9	13	16	53
30/11/2022	1,8	305	13	69	1002	91	0	2	2	4	0,1	4	9	10	15	41
01/12/2022	1,6	347	12,5	82	1000	25	0,5	2	2	4	0,2	3	10	7	15	36
02/12/2022	1,9	13	12,8	82	997	31	0,5	1	1	5	0,1	3	7	2	12	49
03/12/2022	1,4	286	12,3	79	995	73	0,1	3	3	4	0,1	3	7	5	12	42
04/12/2022	1,2	333	12,8	91	997	71	0	4	4	4	0,1	3	7	5	12	33
05/12/2022	1,6	348	14,2	84	1001	98	0	5	4	4	0,1	4	10	17	16	31
06/12/2022	1	300	14,9	91	1001	49	0,5	4	4	3	0,1	4	6	6	12	37
07/12/2022	1	1	14,9	90	1000	83	0	6	5	3	0,2	7	13	10	24	21
08/12/2022	1	309	14	95	993	46	0	5	5	4	0,1	3	9	6	13	32
09/12/2022	1,1	230	15,3	85	988	30	0	5	5	5	0,1	6	15	8	24	25
10/12/2022	4,2	265	16,7	62	994	82	0	1	1	4	0,1	3	3	7	7	65
11/12/2022	1	281	13,3	89	994	20	4,9	2	2	5	0,1	3	7	4	12	34
12/12/2022	1,4	260	16,8	78	996	58	0	4	3	4	0,1	5	12	8	20	29
13/12/2022	1,2	259	18,4	84	993	33	0	3	3	5	0,2	11	15	7	33	18
14/12/2022	2,2	253	18,6	74	991	46	0,8	3	2	4	0,2	4	12	10	19	36
15/12/2022	1,7	262	15	80	988	42	2,5	2	2	4	0,1	5	11	5	18	33
16/12/2022	2	254	13,7	73	996	84	0	2	2	4	0,2	5	9	5	15	42
17/12/2022	1,6	343	13,1	88	1005	82	10,6	3	3	4	0,1	3	8	4	13	30
18/12/2022	1,4	350	12,6	91	1014	89	0,1	3	3	4	0,1	4	6	4	13	29
19/12/2022	1,4	342	12,5	92	1015	82	0	3	3	4	0,1	4	8	4	14	32
20/12/2022	1,8	267	11,9	91	1011	96	0,1	7	7	3	0,2	4	9	8	15	23
21/12/2022	3,7	279	17,4	63	1011	87	0	2	1	3	0,2	2	5	9	8	51
22/12/2022	3,3	287	18,2	62	1013	108	0	1	1	3	0,2	3	4	6	8	53
23/12/2022	2,2	256	18	66	1011	107	0	3	2	4	0,2	5	11	8	19	33
24/12/2022	1,3	320	15,4	78	1008	109	0	5	5	4	0,2	4	9	6	15	23
25/12/2022	1,3	321	14	78	1009	111	0	6	6	4	0,1	3	7	8	12	24
26/12/2022	1,5	341	14,2	70	1013	104	0	4	3	4	0,2	4	10	8	15	27
27/12/2022	1,9	309	13	73	1017	111	0	5	4	4	0,2	4	8	9	14	27
28/12/2022	1,4	312	11,7	86	1013	105	0	7	7	3	0,2	4	10	10	15	22
29/12/2022	2,5	271	13,8	61	1011	98	0	3	3	4	0,1	3	8	12	12	34
30/12/2022	3,8	241	18	45	1012	119	0	2	2	4	0,1	2	2	11	5	58
31/12/2022	1,8	270	14,9	60	1013	102	0	4	3	4	0,1			13		40
